#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","3","361","2203565993984","21684224","8773632","22568","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.46875","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3360","Microsoft.Win32.SafeHandles.SafeProcessHandle","361","3724",".","722274","??","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22568","22568","8773632","8773632","349720","349720","11538432","11538432","29429760","29429760","255840256","2203574063104","True","Normal","8773632","8773632","00:00:00.3125000","ApplicationFrameHost","15","True","3","System.Diagnostics.ProcessStartInfo","1/31/2024 9:38:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4687500","00:00:00.1562500","247771136","2203565993984","False",,,,"21684224","21684224",,
"audiodg","0","176","2203402362880","12578816","6647808","10736",,,"0.171875",,,,,"Process","8",,,,,,"176","5156",".","0","",,,,,"10736","10736","6647808","6647808","95064","95064","7626752","7626752","13516800","13516800","87121920","2203405344768",,,"6647808","6647808","00:00:00.0468750","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","2/2/2024 1:08:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.1250000","84140032","2203402362880","False",,,,"12578816","12578816",,
"bash","3","170","2203419758592","9244672","2007040","9496","C:\WINDOWS\system32\bash.exe","Microsoft Corporation","0.015625","10.0.19041.3691 (WinBuild.160101.0800)","10.0.19041.3691","Microsoft BASH ?? ???","Microsoft? Windows? Operating System","Process","8",,"False",,"3164","Microsoft.Win32.SafeHandles.SafeProcessHandle","170","5652",".","0","","System.Diagnostics.ProcessModule (bash.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9496","9496","2007040","2007040","132448","132448","2195456","2195456","9736192","9736192","104697856","2203422920704","True","Normal","2007040","2007040","00:00:00.0156250","bash","15","True","3","System.Diagnostics.ProcessStartInfo","2/1/2024 2:51:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","101535744","2203419758592","False",,,,"9244672","9244672",,
"bash","3","0","784227639296","3870720","1904640","38552",,,"0.078125",,,,,"Process","8",,,,,,"0","14380",".","0","",,,,,"38552","38552","1904640","1904640","12976","12976","2478080","2478080","3899392","3899392","-1751375872","784227639296",,,"1904640","1904640","00:00:00.0625000","bash",,"True","3","System.Diagnostics.ProcessStartInfo","2/1/2024 2:51:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","-1751375872","784227639296","False",,,,"3870720","3870720",,
"chrome","3","307","3486828158976","63221760","65880064","27360","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","43.15625","120.0.6099.225","120.0.6099.225","Google Chrome","Google Chrome","Process","8",,"False",,"3448","Microsoft.Win32.SafeHandles.SafeProcessHandle","307","976",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27360","27360","65880064","65880064","738720","738720","65966080","65966080","84303872","84303872","429101056","3487942545408","True","Normal","65880064","65880064","00:00:05.8593750","chrome","15","True","3","System.Diagnostics.ProcessStartInfo","1/31/2024 9:30:37 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:43.1562500","00:00:37.2968750","-685285376","3486828158976","False",,,,"63221760","63221760",,
"chrome","3","274","3488984875008","48787456","31846400","26528","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","1.40625","120.0.6099.225","120.0.6099.225","Google Chrome","Google Chrome","Process","4",,"False",,"3160","Microsoft.Win32.SafeHandles.SafeProcessHandle","274","988",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26528","26528","31846400","31846400","699632","699632","32870400","32870400","49614848","49614848","1471434752","3488984879104","True","Idle","31846400","31846400","00:00:00.2968750","chrome","15","True","3","System.Diagnostics.ProcessStartInfo","2/2/2024 1:08:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.4062500","00:00:01.1093750","1471430656","3488984875008","False",,,,"48787456","48787456",,
"chrome","3","291","3486799646720","24707072","37314560","25656","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","2.390625","120.0.6099.225","120.0.6099.225","Google Chrome","Google Chrome","Process","8",,"False",,"2164","Microsoft.Win32.SafeHandles.SafeProcessHandle","291","2528",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25656","25656","37314560","37314560","703512","703512","37326848","37326848","53788672","53788672","429101056","3487942545408","True","Normal","37314560","37314560","00:00:00.7343750","chrome","15","True","3","System.Diagnostics.ProcessStartInfo","1/31/2024 9:30:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.3906250","00:00:01.6562500","-713797632","3486799646720","False",,,,"24707072","24707072",,
"chrome","3","311","3486798929920","85716992","84000768","26608","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","52.90625","120.0.6099.225","120.0.6099.225","Google Chrome","Google Chrome","Process","8",,"False",,"1484","Microsoft.Win32.SafeHandles.SafeProcessHandle","311","2624",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26608","26608","84000768","84000768","728608","728608","116854784","116854784","145891328","145891328","429101056","3487942545408","True","Normal","84000768","84000768","00:00:08.8125000","chrome","15","True","3","System.Diagnostics.ProcessStartInfo","1/31/2024 9:31:20 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:52.9062500","00:00:44.0937500","-714514432","3486798929920","False",,,,"85716992","85716992",,
"chrome","3","2447","2307465912320","353058816","304640000","75216","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","2099.640625","120.0.6099.225","120.0.6099.225","Google Chrome","Google Chrome","Process","8",,"False",,"2472","Microsoft.Win32.SafeHandles.SafeProcessHandle","2447","6964",".","197122","shell_examples/powershell at master ? DarrenKwonDev/shell_examples - Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","75216","75216","304640000","304640000","1512576","1512576","341917696","341917696","435970048","435970048","1304797184","2307702235136","True","Normal","304640000","304640000","00:10:34.7656250","chrome","15","True","3","System.Diagnostics.ProcessStartInfo","1/31/2024 9:30:33 AM",,"System.Diagnostics.ProcessThreadCollection","00:34:59.6406250","00:24:24.8750000","1068474368","2307465912320","False",,,,"353058816","353058816",,
"chrome","3","408","3486894587904","247107584","225157120","35584","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","71.109375","120.0.6099.225","120.0.6099.225","Google Chrome","Google Chrome","Process","4",,"False",,"1672","Microsoft.Win32.SafeHandles.SafeProcessHandle","408","7412",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","35584","35584","225157120","225157120","905200","905200","264167424","264167424","368492544","368492544","437751808","3487951196160","True","Idle","225157120","225157120","00:00:05.6718750","chrome","15","True","3","System.Diagnostics.ProcessStartInfo","2/1/2024 5:33:11 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:11.1093750","00:01:05.4375000","-618856448","3486894587904","False",,,,"247107584","247107584",,
